epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,4175.55,0.99217,0.97137,1.12906,0.60245,0.19419,0.22701,0.17898,1.23485,1.48239,1.32957,3.43469e-05,3.43469e-05,3.43469e-05
52,4220.89,0.98446,0.97488,1.14161,0.6448,0.21499,0.23113,0.18235,1.23016,1.49203,1.31593,3.40948e-05,3.40948e-05,3.40948e-05
53,4267.04,0.9906,0.97896,1.12618,0.608,0.20895,0.22484,0.17598,1.24395,1.51541,1.3325,3.38428e-05,3.38428e-05,3.38428e-05
54,4311.94,0.96176,0.94165,1.11473,0.65364,0.20121,0.22684,0.18087,1.23535,1.51528,1.33781,3.35907e-05,3.35907e-05,3.35907e-05
55,4357.29,0.94681,0.90909,1.09958,0.61171,0.21024,0.23421,0.18754,1.20867,1.49665,1.32721,3.33387e-05,3.33387e-05,3.33387e-05
56,4468.39,0.95096,0.934,1.12061,0.58981,0.20685,0.23399,0.18676,1.2137,1.44208,1.31925,3.30866e-05,3.30866e-05,3.30866e-05
57,4583.39,0.9535,0.92994,1.11118,0.70664,0.19815,0.23255,0.18781,1.21412,1.49398,1.32117,3.28346e-05,3.28346e-05,3.28346e-05
58,4745.76,0.94067,0.89742,1.09969,0.71867,0.19771,0.23033,0.17993,1.20604,1.48184,1.30631,3.25825e-05,3.25825e-05,3.25825e-05
59,4859.34,0.9458,0.90846,1.11753,0.74889,0.19772,0.2332,0.18784,1.20056,1.45908,1.31374,3.23305e-05,3.23305e-05,3.23305e-05
60,4946.02,0.95502,0.90761,1.11752,0.63964,0.21156,0.23392,0.1857,1.20571,1.48771,1.31806,3.20785e-05,3.20785e-05,3.20785e-05
61,5033.96,0.91528,0.88038,1.0936,0.70063,0.21055,0.23757,0.18813,1.19491,1.48381,1.31892,3.18264e-05,3.18264e-05,3.18264e-05
62,5080.08,0.93842,0.89426,1.10109,0.67398,0.20806,0.23393,0.1866,1.1999,1.44169,1.3261,3.15744e-05,3.15744e-05,3.15744e-05
63,5160.1,0.87785,0.83575,1.06804,0.71084,0.21179,0.24001,0.19105,1.19217,1.44183,1.30008,3.13223e-05,3.13223e-05,3.13223e-05
64,5205.86,0.92118,0.87324,1.09134,0.7781,0.20478,0.24018,0.19212,1.18719,1.43923,1.29641,3.10703e-05,3.10703e-05,3.10703e-05
65,5251.39,0.89402,0.85212,1.07893,0.59326,0.22127,0.24224,0.19281,1.18527,1.43868,1.31378,3.08182e-05,3.08182e-05,3.08182e-05
66,5432.03,0.91351,0.85851,1.09085,0.74206,0.21343,0.24132,0.19006,1.20875,1.4406,1.32145,3.05662e-05,3.05662e-05,3.05662e-05
67,5477.26,0.89895,0.8401,1.07255,0.76852,0.20559,0.24136,0.19097,1.18548,1.44997,1.30951,3.03141e-05,3.03141e-05,3.03141e-05
68,5627.08,0.88969,0.82763,1.06803,0.69192,0.22223,0.23902,0.18855,1.17386,1.45979,1.31146,3.00621e-05,3.00621e-05,3.00621e-05
69,5711.43,0.89376,0.84008,1.07756,0.68004,0.21854,0.24106,0.1949,1.15884,1.42235,1.31784,2.981e-05,2.981e-05,2.981e-05
70,5831.64,0.86214,0.80758,1.05602,0.64818,0.22384,0.2393,0.19279,1.17685,1.45936,1.30755,2.9558e-05,2.9558e-05,2.9558e-05
71,5945.56,0.85144,0.81521,1.05413,0.75066,0.21258,0.24396,0.19472,1.18097,1.44053,1.31595,2.93059e-05,2.93059e-05,2.93059e-05
72,5991.03,0.87809,0.80925,1.07015,0.64978,0.22519,0.23786,0.19151,1.16715,1.44348,1.2985,2.90539e-05,2.90539e-05,2.90539e-05
73,6202.6,0.84461,0.78267,1.05619,0.68928,0.22548,0.24668,0.19714,1.16997,1.43518,1.30723,2.88018e-05,2.88018e-05,2.88018e-05
74,6378.5,0.84442,0.78708,1.05346,0.73178,0.22461,0.24842,0.19808,1.17322,1.42725,1.31589,2.85498e-05,2.85498e-05,2.85498e-05
75,6424.4,0.8747,0.79257,1.06747,0.81837,0.21105,0.24507,0.19615,1.16241,1.43856,1.29982,2.82977e-05,2.82977e-05,2.82977e-05
76,6469.46,0.85635,0.7874,1.05897,0.75206,0.22351,0.25099,0.20157,1.15228,1.4383,1.29928,2.80457e-05,2.80457e-05,2.80457e-05
77,6753.17,0.83924,0.7527,1.05208,0.76514,0.22475,0.25251,0.20309,1.17273,1.40661,1.30512,2.77937e-05,2.77937e-05,2.77937e-05
78,6798.83,0.84621,0.7665,1.054,0.81257,0.21822,0.25356,0.2017,1.16612,1.41714,1.2958,2.75416e-05,2.75416e-05,2.75416e-05
79,6944.4,0.85975,0.77429,1.06691,0.7867,0.21352,0.25493,0.20523,1.15305,1.38808,1.2925,2.72896e-05,2.72896e-05,2.72896e-05
80,7026.12,0.84697,0.76703,1.05774,0.68099,0.23883,0.25072,0.20274,1.16505,1.43397,1.30276,2.70375e-05,2.70375e-05,2.70375e-05
81,7108.19,0.85525,0.77003,1.05121,0.82528,0.21718,0.2531,0.20444,1.16669,1.41799,1.30501,2.67855e-05,2.67855e-05,2.67855e-05
82,7231.11,0.82981,0.74765,1.03937,0.77781,0.22692,0.25491,0.20652,1.16163,1.44093,1.30961,2.65334e-05,2.65334e-05,2.65334e-05
83,7346.79,0.8347,0.74241,1.04501,0.73752,0.21783,0.24953,0.20385,1.16464,1.43836,1.29334,2.62814e-05,2.62814e-05,2.62814e-05
84,7392.29,0.82469,0.73673,1.03272,0.73276,0.22501,0.25554,0.2036,1.17121,1.43423,1.29641,2.60293e-05,2.60293e-05,2.60293e-05
85,7437.49,0.82267,0.74219,1.03882,0.75282,0.23171,0.25523,0.20512,1.15996,1.41291,1.301,2.57773e-05,2.57773e-05,2.57773e-05
86,7622.4,0.807,0.7279,1.02903,0.77837,0.21454,0.25498,0.20284,1.16048,1.46943,1.30379,2.55252e-05,2.55252e-05,2.55252e-05
87,7765.11,0.81919,0.73778,1.03598,0.64819,0.2218,0.24774,0.20163,1.14144,1.39529,1.2953,2.52732e-05,2.52732e-05,2.52732e-05
88,7846.64,0.82698,0.74663,1.04717,0.7043,0.22767,0.25298,0.20331,1.14149,1.38408,1.29778,2.50211e-05,2.50211e-05,2.50211e-05
89,7892.26,0.79352,0.70841,1.01842,0.79991,0.22686,0.25745,0.20856,1.15211,1.39713,1.30357,2.47691e-05,2.47691e-05,2.47691e-05
90,7999.06,0.81005,0.72615,1.04027,0.75426,0.22973,0.25746,0.20669,1.15921,1.40979,1.31204,2.4517e-05,2.4517e-05,2.4517e-05
91,8045.54,0.7901,0.69698,1.03664,0.74766,0.2127,0.24873,0.20147,1.16791,1.43697,1.32751,2.4265e-05,2.4265e-05,2.4265e-05
92,8090.02,0.76947,0.66732,1.01624,0.73897,0.2337,0.25661,0.2003,1.17164,1.42624,1.32277,2.4013e-05,2.4013e-05,2.4013e-05
93,8134.18,0.75537,0.66414,1.01654,0.74632,0.22624,0.2538,0.20456,1.14655,1.4119,1.30788,2.37609e-05,2.37609e-05,2.37609e-05
94,8178.73,0.7872,0.6834,1.02273,0.71721,0.22769,0.25806,0.20614,1.15902,1.4272,1.31543,2.35089e-05,2.35089e-05,2.35089e-05
95,8223.19,0.76094,0.65561,1.00978,0.70496,0.22725,0.24905,0.20214,1.16899,1.43862,1.31147,2.32568e-05,2.32568e-05,2.32568e-05
96,8267.43,0.76891,0.65153,1.01402,0.77077,0.21412,0.25159,0.20604,1.16145,1.42886,1.31502,2.30048e-05,2.30048e-05,2.30048e-05
97,8311.98,0.74725,0.64232,1.01131,0.73498,0.22842,0.25461,0.20525,1.16652,1.44011,1.3119,2.27527e-05,2.27527e-05,2.27527e-05
98,8356.29,0.76149,0.6482,1.00309,0.76476,0.22862,0.25972,0.20658,1.16132,1.41562,1.31978,2.25007e-05,2.25007e-05,2.25007e-05
99,8400.77,0.74798,0.63363,1.00126,0.79423,0.23026,0.26846,0.21137,1.15606,1.39917,1.31574,2.22486e-05,2.22486e-05,2.22486e-05
100,8445.66,0.7499,0.62907,1.00335,0.76163,0.23829,0.26476,0.20812,1.1542,1.40494,1.31619,2.19966e-05,2.19966e-05,2.19966e-05
